Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8045993436883997	0.7772098691242714	0.7343236230081982	0.7276388251649009	0.7331100680960548	0.7118658720387353	0.7025117349977846	0.6910444253241574	0.6813533028629091	0.7515787549018861	0.6652399892542097	0.6683311009230437	0.6116790104133113
mid	0.8118022329145007	0.7782665094048888	0.7281260264758709	0.7227490986144102	0.7280604380192579	0.7056451288903199	0.6939425433476766	0.6813550666482361	0.6718226535276131	0.7435871137468903	0.6574544432030783	0.6587618278706515	0.5964815251032511
high	0.7921912238068052	0.7662503809928893	0.7196536029047436	0.7098875139775099	0.7078671392069922	0.6817447054827656	0.6679568692578209	0.6557363348051354	0.6458787103582311	0.7268219279492343	0.6318133566114639	0.6298979325515253	0.5647794521164011
