Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.7989286195525417	0.7705249860595774	0.7258441187717296	0.7198359733555052	0.7256175868157988	0.7041259364640271	0.6952769653267329	0.6828109974816994	0.6730915221108331	0.7446825927628411	0.6563477289941576	0.6597412143415875	0.5984209422844428
mid	0.8124568995325654	0.7759030967994972	0.7247284684534426	0.7187088938554128	0.7234721880974593	0.699253202787152	0.6867320775897415	0.6745217165108081	0.6646010759539075	0.7383831706400271	0.6497706564532386	0.6517390481895871	0.585488829224198
high	0.7831361777782441	0.7560498281540693	0.7065932335412061	0.6973838599346301	0.6937428202982303	0.6666355723010169	0.6522160689256811	0.6400405847628912	0.6301814324767501	0.7138944625457129	0.614035690581357	0.6124806539438389	0.5376804163058598
