Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.7987810765328232	0.771215784267143	0.7289785529021864	0.7229994823932647	0.7284740127545816	0.706777444186034	0.6976785112928461	0.6858369322617849	0.6764507785064203	0.7475057171185809	0.6594786998828251	0.662549103555856	0.6024131478027062
mid	0.8121452570049852	0.7766275751105062	0.7267598189557041	0.7207689927992997	0.7256259287419143	0.7016925029004062	0.6899065830530944	0.6775467772704583	0.6676269418795904	0.7402717650245737	0.6526695487543389	0.6548887001849987	0.5899868653306255
high	0.7867038289794216	0.7597009479469724	0.7120339389686231	0.7028666869357779	0.6993623409094634	0.6724069702272063	0.6582229188504042	0.6465778399485128	0.6368046380943723	0.7207788339279316	0.6221009985164361	0.6202110241033413	0.551844879022351
