Type	0	1	2	3	4	5	6	7	8	9	10	11	12
monosemous	0.8291723857117358	0.7993477491892633	0.7598786809893127	0.7504795410321281	0.7591181019720152	0.7382557640172014	0.7290228284622113	0.7199541996508948	0.7130108236094095	0.7786525404529328	0.6981935441493989	0.7034176498984225	0.654899912372287
poly-bal	0.7992437529063237	0.7685633920691609	0.7199909216732754	0.7125403776345007	0.7158797777598999	0.6920633266828975	0.6797306080057163	0.6676281460164266	0.6582108464696064	0.7342913300797129	0.6422879536344548	0.643105168224712	0.5737952297257337
poly-same	0.8011368705135022	0.7729936021049879	0.7258625560400018	0.7187394080264715	0.7218486280342419	0.6993118702066129	0.6876926276006956	0.675713038558595	0.6670493886421361	0.7405015370999164	0.6520669261329293	0.6532936426124186	0.5897512259444044
poly-rand	0.7961551818107431	0.7671537877301599	0.7208848133453469	0.7140787526687875	0.7172259543786209	0.6934382542912343	0.6816187924682175	0.6700833070981635	0.6614343398559099	0.7372082574420759	0.6459896799733447	0.647315754629335	0.5791540634340583
