Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.836690612386774	0.861274334858965	0.847612982056759	0.8649459181494182	0.8731559056926657	0.8865012965776302	0.8740304645388215	0.8070704439922616	0.7656309050542337	0.8097865347994697	0.8498652814935755	0.8664194038973915	0.7186665118314601
mid	0.8433679000889812	0.8659277116457622	0.8517381860061928	0.8663862868194228	0.8720752903708706	0.8847443237260537	0.8708518897427452	0.8019788605460414	0.7578065247447402	0.8028488176222199	0.8433220936457316	0.8606694388036373	0.7067558958574578
high	0.7923584531015819	0.8230061740168819	0.8115566927194595	0.8305116837686963	0.8398612186997024	0.8542059477258612	0.8445341882308323	0.7674715094787103	0.7224331598193557	0.7727685148539367	0.8148853067027196	0.8346278963442202	0.6571239171646258
