Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8383496273182055	0.8628391906994359	0.8496172701915105	0.8665900140073564	0.8746879847976896	0.888428161245805	0.8763491977276624	0.8105441617215122	0.7699818149142794	0.8130825006785216	0.8520587842508598	0.8688216327649576	0.7267195433863887
mid	0.843794048609557	0.8665623993741141	0.8525031760621954	0.8669252016102825	0.8731948701717236	0.8860545849932564	0.8725338636504281	0.8042426413121049	0.7615932393824613	0.805561411663338	0.8456185414217136	0.8630536642471949	0.7134969791880359
high	0.8016169519998408	0.831193020802957	0.8193563477286585	0.8375010608302221	0.8464099587334527	0.8609035481214524	0.8517805280111453	0.7785258910611823	0.7351057351518561	0.7821846531982775	0.8228973135859877	0.8421148983549189	0.6748023430550539
