Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8364082165956497	0.8613389052285088	0.8478636664461208	0.8652140588098102	0.8732669304300237	0.8870740079703155	0.8752128088165212	0.8088311583907516	0.767715276894746	0.8109093681176504	0.8503057552090397	0.8670394993578947	0.7227264664570491
mid	0.84131173603623	0.8648204925501788	0.8506898968749577	0.8654463302735931	0.871416425228119	0.8842976443767547	0.8707913298077055	0.8013336453040442	0.7579848258318725	0.8024011988374921	0.8426962324248419	0.8603028524054421	0.7100045062524301
high	0.7929217491149902	0.8244521013498307	0.8131681028295447	0.8322298164544283	0.8413076591359243	0.8560146280571267	0.8468727378977672	0.7716757414738337	0.72809020808008	0.7765717597405115	0.8180577703096248	0.8375942660084477	0.6658191877603531
