Type	0	1	2	3	4	5	6	7	8	9	10	11	12
monosemous	0.8529930617472138	0.8759388881690447	0.8610463738916785	0.8770318633283091	0.8835356900249626	0.8987079298984237	0.8874573395329546	0.8303241132422371	0.7911213250504979	0.8291367625917672	0.8662199852410812	0.8808819647864544	0.7555650084941454
poly-bal	0.8299372957590601	0.8556282735295526	0.8425206240347761	0.8587213195270201	0.8654247677750818	0.8779744170625942	0.8652287661807452	0.794175491660659	0.7507250395783207	0.7970444597220688	0.837640857557107	0.8552775098217859	0.6973009206651689
poly-same	0.8343873031496811	0.8597024526037098	0.8465861043734858	0.8620769579920091	0.8685188840260727	0.8809853672949574	0.868792800048385	0.7995346481593474	0.7574969725618966	0.8017154449386079	0.8412384413867983	0.8589368898110591	0.7063317874116759
poly-rand	0.8309582837492402	0.8571415321361759	0.84403907234272	0.8599315794302642	0.8662588260390541	0.8787277963299626	0.8661752169370526	0.7956016916534102	0.7528777045844908	0.7980958885299848	0.8382834649890867	0.8560195537496919	0.7016863001337208
