Type	0	1	2	3	4	5	6	7	8	9	10	11	12
monosemous	0.8370064716304889	0.8364327960575849	0.8201301824723325	0.8004624702143327	0.7952753640406314	0.7912599617531172	0.7888639155028666	0.7794220836095391	0.7687145082637517	0.7891305700950583	0.8101111957457774	0.8606170415022726	0.7799322894980842
poly-rand	0.7862739259292951	0.7913142561785785	0.7659094715739488	0.7391650009224987	0.7352952321560569	0.7321326289197222	0.7268974309934702	0.7102171570173546	0.693501904012674	0.7211416567183123	0.7499920845063426	0.8186089252424265	0.7216614397550631
poly-bal	0.7804720248078361	0.7850920415602738	0.7568690309272302	0.7276871942130254	0.7223287365273044	0.7184430316494602	0.7131329060741588	0.6957774129368913	0.6787344456511187	0.7077373246035	0.7384084467650854	0.8101871822978004	0.7101087573105703
poly-same	0.7903994036443306	0.797355750695877	0.7771334463012528	0.7553674276777559	0.7542139779659487	0.7525402718468716	0.7467133797717055	0.7320829020732896	0.7163443425308829	0.7410003888042983	0.7666780956465788	0.8301631562352372	0.7376804985403064
