Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.7958163578415571	0.7981434829462486	0.7767753575328474	0.7547014964134083	0.7534623448996324	0.7537600844635746	0.7506184160601206	0.7365093872633208	0.7225359365545375	0.7485173016119493	0.7748071497355432	0.8369977553108571	0.7450668996441482
mid	0.7848645564917246	0.7896563326870953	0.7645189832937823	0.7389221157243708	0.7365236280830297	0.7337571594769858	0.7299024989562196	0.7148524954507993	0.699924674291037	0.7279577003045559	0.7576836768598318	0.8252597839044771	0.7303848865624747
high	0.7809962803737174	0.7888590608303719	0.7570433799815192	0.7235072141790804	0.7169809678817715	0.7101106835147214	0.7030235684598303	0.6837240195822442	0.665082868618166	0.6945930700889638	0.7265539163566207	0.8015209081336888	0.6981620138728539
