Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.7947315804730934	0.7965707395869558	0.7741792921794954	0.7508543864760964	0.7487948925679286	0.7486491571729476	0.7451426653233141	0.7305782518792621	0.7157467706642412	0.7420568948600724	0.7691117490749009	0.8329797628306169	0.7399212618728972
mid	0.7813429483541077	0.785080499504806	0.7577237848562672	0.7299979257587614	0.7263457144487437	0.7230949286821601	0.719095674221572	0.7034181815007233	0.6882534297103556	0.7174434808504447	0.7485134664484059	0.8185950171713736	0.7215181477848601
high	0.7777103885308128	0.7842059557080678	0.7475002375022134	0.7096874274272884	0.7004451989887174	0.6922271995636744	0.6847881525075828	0.6644089006733379	0.6453865723158952	0.6766682664264857	0.7108027071451847	0.7897251242301858	0.6828928849273546
