Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.798852300713634	0.8022382015733859	0.7832461073889466	0.7635872836530293	0.7635659867199373	0.7641659662473056	0.7610004373172714	0.7477360128875605	0.7340916508843663	0.7586068968687308	0.7835364350750456	0.8434843206146019	0.7553040445824499
mid	0.793231814996829	0.7990397422382015	0.7780444228031816	0.7559090426364935	0.7558820474141803	0.7544811001610313	0.7504995651834071	0.7371585522342092	0.7232347921308648	0.7488976008711857	0.7758502168333349	0.8383251238033081	0.7491901531698157
high	0.7905790710958845	0.8010716881740475	0.7778209414013837	0.752207885901037	0.7496699915823616	0.7453668081777234	0.7381336612166789	0.7213969229305672	0.7045148690926208	0.7297432648868757	0.7570072749421154	0.8232205325207612	0.7297378433882938
