Type	1	2	3
monosemous	0.9405559375177096	0.6302737541968109	0.5651792191876052
poly-rand	0.8983324873263628	0.5908623431604761	0.5210390763641481
poly-bal	0.8940299116760286	0.5785209778646786	0.5080384893280467
poly-same	0.902366194726304	0.6075698870696139	0.5395859786990094
