Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8048868843758628	0.8178000130656266	0.8007484127759309	0.8117062708379088	0.817205541819953	0.8280466704412823	0.8158829031583883	0.7357396174304113	0.6912259605892919	0.7439981874185936	0.7842823780551749	0.8018414288813319	0.5960757402143884
mid	0.7851916005069214	0.7991590872769063	0.7816422402648964	0.7930866377106339	0.7988236395162374	0.8107969594876812	0.8016642083509576	0.7184540772190321	0.6737849938563811	0.7295465436236671	0.7708960559573109	0.7892506727326031	0.5704765166132738
high	0.7606206069936866	0.7779519922407819	0.7601653799892409	0.7709826324105769	0.7756163223421029	0.7893758227397752	0.7832575954167826	0.6978779032649137	0.6537965865090961	0.7119015567459919	0.7539865348771302	0.7727851166867471	0.5419167722297978
