Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8088406318473008	0.8217392201360183	0.8055184754856076	0.816956647330894	0.8229208736079286	0.8339432218858951	0.8215653510794665	0.7429272915283791	0.6991454164860205	0.7503854658868578	0.7898775878152579	0.8072501764611916	0.6070683692294423
mid	0.7958748523506146	0.8085708724008007	0.7921374470839574	0.8032560196257683	0.8095619241995929	0.8217622491688872	0.8118898946235622	0.7323274634043057	0.6899619645542568	0.7430191961009238	0.7830102904649642	0.8009760289650097	0.5928053718966136
high	0.7725427262291213	0.7894418315123973	0.7739546065946865	0.7856793092056301	0.7920078481294186	0.8059840829772895	0.7990418133655847	0.7192362769810177	0.6778077435916555	0.7317035453337339	0.7710818288570981	0.7895536976948119	0.5763684821431736
