Type	0	1	2	3	4	5	6	7	8	9	10	11	12
monosemous	0.8579748736170618	0.8634242067496742	0.8433243438894605	0.8490652864819699	0.8494343141080977	0.8574330540650198	0.8408224439665335	0.7670193555157341	0.7271844247691749	0.7745298097388406	0.8128436553579642	0.8280168926316585	0.6490214813332301
poly-rand	0.7830061904678058	0.7977727144148551	0.7807065605134927	0.7912436628265624	0.7966937212472517	0.8083260294638182	0.7995202828347208	0.716825989688856	0.6726591873333723	0.7281056723082592	0.7698845951307459	0.7881135735373622	0.5705767441911307
poly-bal	0.7760451449700203	0.7915422055297934	0.7736501811445551	0.7840401810290396	0.7890511991336332	0.8008173748066552	0.7926271023394135	0.7074134120530488	0.6620563458914709	0.7189155830467463	0.7618253181679079	0.7810561749099862	0.5573375290660767
poly-same	0.7900083267390887	0.804365129742706	0.7887450286646207	0.7998397356236887	0.8061523385658852	0.8182858602979094	0.8088116982717073	0.7292322458167585	0.6864929085174561	0.7395483946496031	0.7796559915714982	0.7977893233109129	0.5902150910151632
