Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8032563307660797	0.8161877615890766	0.7988878326758331	0.8097830834011801	0.8148280413070498	0.8254317774025512	0.8130407250247239	0.731178436490359	0.6862427210153941	0.7396088634173845	0.7805994803613654	0.7986368519088198	0.5906228776299249
mid	0.7809177275876295	0.7953194121130152	0.7772128401438715	0.7883543837184341	0.7937867105356788	0.8058226931089129	0.7967294581495418	0.7118556171740562	0.6659018008957082	0.7228832594909239	0.7651497188976147	0.7841675687699295	0.5605038467635456
high	0.7569339134563816	0.7740649636533621	0.754750106488055	0.7643179574784887	0.7681741996190317	0.7812182283036098	0.7754085529545282	0.6866083454955944	0.6408514293914698	0.701055908320916	0.7446325059089961	0.7647286150959812	0.5250940837935109
