Type	0	1	2	3	4	5	6	7	8	9	10	11	12
monosemous	0.8460537348289175	0.8199688233288599	0.8092013782956765	0.7805996557425338	0.7543164928532355	0.7465335903143642	0.7283672514683005	0.7188330576497148	0.7021365282448095	0.6818998747053203	0.6781479123550043	0.699252440006032	0.6492789650330958
poly-rand	0.7854784416778489	0.7620748193925648	0.7413086333470038	0.7125543408955367	0.6829979781899156	0.671005308083053	0.6457044949847165	0.6256357175786719	0.6087673955081563	0.5832701287644776	0.5782301351182452	0.6137270483578982	0.5528719907932496
poly-bal	0.7807038869425567	0.7550618352945785	0.7306739215043425	0.7002609131248755	0.6690069816836266	0.6550173930352448	0.6280282313395282	0.6072478117554952	0.5897658790983081	0.5633943730469145	0.5583269766579911	0.595965232518301	0.5332146787567382
poly-same	0.7916253365461399	0.771909332284897	0.7565926410649952	0.7316613872117149	0.7048171919657157	0.6960591602109962	0.6726359108101491	0.6535407510322183	0.6378801310366611	0.6131148934205881	0.6084326767306706	0.6412705879747583	0.5810442341413351
