Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.7966738647956909	0.7744788035795461	0.7634390858686555	0.7398844076251041	0.7163429851107934	0.7109869119332043	0.6890518076743395	0.6721042224057477	0.658087157097332	0.6331513186163613	0.6285290906784586	0.6587254217565721	0.5987885638551621
mid	0.7932110723147384	0.7721018326588166	0.7580833523261881	0.7327836456621675	0.7068634096673532	0.6990299422416892	0.6759765460800042	0.6594201218168879	0.6457643365088831	0.62266931566178	0.6203088028218771	0.6528886980160968	0.5916185341509459
high	0.7880949034160076	0.7709200995899684	0.7529714783633711	0.7268187317859743	0.6978497436099966	0.6867584078079704	0.6620795532445028	0.6419655316754391	0.6256929485950288	0.5986437859687143	0.5952581561676652	0.6300736745102411	0.5686761218180794
