Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.7939581112651052	0.7692522128134588	0.7555650829307301	0.7298927807452146	0.7049459353476961	0.6977103584570904	0.6749103585157838	0.6575137889897255	0.6436118622296374	0.618387822278879	0.612583511076187	0.6438356049600736	0.5821655966962003
mid	0.7852612195970704	0.7606592310659647	0.7414914337698091	0.7130619339094262	0.6846013678724451	0.6742813786350343	0.6497399921710515	0.6323903897069538	0.6172625422577612	0.5923543533228821	0.5888110347223258	0.6242906748039829	0.5605224129541128
high	0.7776039892614164	0.7540414763376774	0.7268982824598451	0.6950663090737795	0.6611973408201719	0.6448802685949153	0.6167515494622009	0.595010579473719	0.5766836578602222	0.5478583942019283	0.5432909509495732	0.5830127914986992	0.5195410888337829
