Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.7924236119815143	0.7662986084803814	0.7514246916669971	0.7249143013960894	0.6988310662121704	0.6907572236746689	0.6674194211968493	0.6495859835123339	0.6352495815393834	0.6097164855245669	0.6036827867875827	0.6358791250474848	0.5733555935688329
mid	0.7821937115823322	0.7554793201800225	0.7334850011108429	0.7034894098463581	0.6735770724697571	0.6621604954654974	0.6364190079787478	0.6178114036908796	0.6020885967760803	0.5759919143250506	0.5720372776020626	0.6092125325421102	0.5442167583733762
high	0.7731769846893891	0.7467394641532752	0.714596958815703	0.6797479628194458	0.6435024838241797	0.6237391601216531	0.5936056951261091	0.5705604791016221	0.5510783347542139	0.5215419835105829	0.5169028013866498	0.5590512412501621	0.4933681284114463
