Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8383568874200186	0.8593819415878367	0.8440778835879431	0.8609119157526227	0.8673524627862154	0.8797680263828348	0.8683225175142287	0.8023123085852023	0.7590120036911081	0.8023983875380621	0.8419058417567501	0.8613344600818775	0.7142908732758628
mid	0.8231819348114509	0.8465004063270709	0.8313812561564976	0.8491948990777687	0.8559141530858145	0.8676977450759322	0.8565899937285318	0.7848393086150841	0.7409023135856346	0.7869828840185095	0.8287690631548563	0.8509977760977215	0.6937788985746878
high	0.7589118270609113	0.7905039261005543	0.7787807437137321	0.8023059950802061	0.8140476065785798	0.8296649690115895	0.8242831934204808	0.7456889587640763	0.703128603330365	0.7554059751519451	0.799812549048	0.8252975870900684	0.643552621377839
