Type	0	1	2	3	4	5	6	7	8	9	10	11	12
monosemous	0.8601746046403695	0.8765892349837119	0.858375876390953	0.8739836607253153	0.8800960386610613	0.8931069356751277	0.880511178145188	0.8218369019056875	0.7820508385389044	0.8211840969016742	0.8590586195627088	0.8757621867868381	0.7418837950750591
poly-bal	0.7950180755879637	0.8213958438186808	0.8074024075874936	0.8285665165452739	0.8374466985670066	0.8514216734144929	0.8419289228321706	0.7660842730953362	0.7208697333258558	0.7711942970182337	0.8152356347874212	0.8387997044362268	0.6666865436147337
poly-same	0.8092050779125655	0.8339740574328207	0.8200312399978273	0.8389062579263721	0.8469823172629861	0.8596585193445935	0.8495452121399236	0.7768974251882754	0.7335527034404111	0.7811453593372981	0.8235035249491058	0.8461256187625037	0.6842590625523126
poly-rand	0.7977103082091804	0.8247815688261007	0.8108747772052528	0.8311087226246596	0.8400008305027914	0.8537936634234076	0.8443030979708116	0.7697987639923034	0.725129024241593	0.7739757824964437	0.8172485392756565	0.8407591990021428	0.6751673710783515
