Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8291048118494175	0.8518759202868851	0.8367552391334815	0.8549863198421618	0.8623150838834268	0.8755783862802718	0.8646391159516795	0.7979753639124058	0.7546936968653291	0.7990359826087952	0.8390812324417962	0.8587030687067244	0.7090016777603715
mid	0.8192130871348912	0.8428931066813292	0.8273906004031498	0.8455508291986253	0.8521359886902349	0.8642079812244132	0.8532361599780894	0.7803684228526222	0.7356321294837527	0.7829597634915952	0.8249153457085292	0.8472704361986231	0.6870011155561165
high	0.7497765530745187	0.7833537084438182	0.7716765262065111	0.7960005319471712	0.8079893446233537	0.8242496483899929	0.8191863892652371	0.738180210435832	0.6933234966772573	0.7467533692474719	0.7926308337803241	0.8192693959960231	0.6340067917461748
