Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8299064496093327	0.8518965220716265	0.836602762858073	0.8549752310337844	0.8624201778438356	0.8757046397173845	0.8643029538260566	0.7968762172725466	0.752895911967313	0.7979420642146358	0.8385858345738164	0.8582078006444154	0.7057679754407317
mid	0.8163727728172585	0.8393074849446613	0.8235149684526303	0.8421617381528571	0.8486101436791597	0.8607822157718518	0.8496145443298198	0.7751059260589106	0.7300025344513079	0.7790429819027582	0.8220669382854744	0.8447120008998447	0.6773661783933639
high	0.7414144254260593	0.7749912906885146	0.7637899005854571	0.790212693841369	0.8029847109097021	0.8197982894623721	0.8156372287714924	0.7337955062610132	0.6886351727688753	0.7442483095195559	0.7904225466074767	0.8166337167731039	0.6232836479081048
