Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.7977334958800564	0.7929696843491658	0.7739251862057933	0.7419942244732821	0.7230939510177683	0.7061368845480458	0.6934242162351254	0.6718293162716759	0.6551147511446918	0.6451235367942739	0.6689317656622993	0.7080484395027161	0.6051928000538437
mid	0.7738351016971801	0.7669139844797276	0.7435280594604986	0.7064183531999588	0.6838238223173	0.667163644252	0.6582521749028453	0.6372450450835404	0.6204501370677241	0.6134930004411274	0.6414742031141564	0.6800811166012729	0.5719104624500981
high	0.7173626892478377	0.7197515349343971	0.6950173834209088	0.6528865338740525	0.6256837477330808	0.6128364220725167	0.6066004030527892	0.5854702077220988	0.5743320959409078	0.5712480186533045	0.6044640531363311	0.6395857240977111	0.5243061864111159
