Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.7967235286059203	0.7933742358728691	0.7759247323186309	0.7456639858086904	0.7283764914627429	0.7115094887150658	0.6987760142882664	0.6773068906068802	0.6598445507729495	0.6499028212273562	0.6736752045728542	0.7125314674421593	0.6121574871540069
mid	0.7791300853446679	0.7736151140619207	0.7523104568543256	0.7172498549443704	0.6963307660023371	0.6805327128436829	0.6713807057892835	0.6501706942231568	0.6332384872083312	0.6255865105787913	0.6524368135708349	0.6899806874239885	0.5846883711903184
high	0.7258520528078078	0.7286471685524342	0.7051605758225477	0.6644924362853721	0.6384666045771704	0.6261209025029784	0.6188164982884019	0.5967719056562141	0.5840005274172182	0.5797649909566951	0.6123918039710433	0.6475466028142859	0.5351689119250687
