Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8043908543984095	0.7994788670407401	0.7811447843180762	0.7513454567547198	0.7334514132561507	0.7166740246172304	0.7042362180859955	0.6823547073558525	0.6651468915188753	0.6548825498731048	0.6769793350078441	0.716037687032311	0.6167513410073739
mid	0.7803969921447613	0.7757308870509818	0.7549604702437366	0.7221102363886657	0.7039795369042291	0.6899706261820264	0.6799890595806969	0.6583288465076023	0.6403115211990145	0.6320360239655883	0.658152107388885	0.6956023962806771	0.5923784928498445
high	0.7351409729145191	0.7362133173103685	0.7124729078963952	0.6735545411065773	0.6503202881194927	0.6381072039339277	0.6302310715251499	0.6079492041667302	0.5942453105228919	0.5889199302814625	0.6209514671917314	0.6571564790849332	0.5476068367958068
