Type	0	1	2	3	4	5	6	7	8	9	10	11	12
monosemous	0.8250067523443464	0.8257945925868744	0.816623749135974	0.7923628325002235	0.7787893460476292	0.7611556856731098	0.7458510827726662	0.7251375655903579	0.7065404720632146	0.6944647957453509	0.7143265359139329	0.7526253696295379	0.6618362528728969
poly-bal	0.7629972742346612	0.7588552232500976	0.7356386818573996	0.698117248987277	0.6739988688298326	0.6577443465946963	0.6478716931274634	0.6260544796277714	0.6114225575766749	0.6047878677955274	0.6337619046528626	0.6715075626295973	0.5622607342649305
poly-same	0.7782222658918615	0.7740218607432535	0.7521947933884774	0.7176510603075521	0.6965031062048335	0.6817479735578013	0.6709250929633207	0.6485727837147832	0.6324194962866823	0.6246478880358021	0.6516007880306446	0.6882842818230533	0.5851103626338172
poly-rand	0.7695059406161625	0.7661379863961083	0.7446537097548628	0.7084630510168212	0.6851662711061612	0.6696220434453498	0.6591962137163985	0.6372814599882092	0.6216796411820258	0.6143988475464938	0.6427226248984005	0.6798321690697546	0.5737505655856541
