Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8871280886950317	0.8972607835133871	0.8764310171736611	0.8945301910903718	0.8942432968395728	0.9054948983943022	0.8934707443449231	0.8326998164256414	0.7881423117231441	0.8304344240868534	0.8767777198553085	0.903139799705258	0.7724381289967784
mid	0.8934913076603855	0.9015282514934188	0.8803855547021936	0.8967055275705127	0.8954519467707034	0.9040462765605364	0.8897508300498679	0.8255627562160845	0.7797620132808333	0.8214956457659051	0.8682622514786544	0.8961398895184199	0.7636687143113877
high	0.9001863108343549	0.9054368161625332	0.8837921165669406	0.8961239223656833	0.8934425807175813	0.8981366204199968	0.8819754836912508	0.8131595636738671	0.7670372668239805	0.8101396785886199	0.8580070502095751	0.8877443851629894	0.7476510996730239
