Type	0	1	2	3	4	5	6	7	8	9	10	11	12
monosemous	0.8860065374869985	0.8972257148009042	0.8770560681217847	0.8963260108552544	0.8964232640720187	0.9077366549369186	0.8964184544018011	0.8389538015823679	0.7966218662889379	0.8355174773554419	0.8779740836061358	0.9019503077029676	0.7790420787566397
poly-bal	0.8963374707243787	0.9030054046428312	0.8816652410179932	0.8975081729990316	0.8958027089294888	0.9033448985730758	0.8879018457755962	0.8221046374681971	0.7759475183448913	0.8197318919442677	0.8676952231063416	0.8953743552857417	0.7555838174226752
poly-same	0.8942890979107992	0.9019493894650542	0.8809697510586464	0.8971013696791958	0.8959150636848905	0.9043840974711916	0.8902060813278927	0.826360038494823	0.7814615765066618	0.8234557182531546	0.8702675413160106	0.897697107405944	0.7644118550196408
poly-rand	0.8931286172433333	0.9010306036073056	0.8798168113800772	0.8961778647306433	0.8949921561960589	0.9032180262904798	0.8889443275650912	0.8242876421733463	0.778355874526	0.8207142537512214	0.8681017628918931	0.8958130975722759	0.7601143317961553
