Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.8906335717263046	0.899557906181724	0.8784804838056915	0.8959020200305516	0.8954957702778004	0.906458723536244	0.8935107127074842	0.832122423891668	0.7874551187047252	0.8302254789626157	0.8767868923655262	0.9028797550113112	0.7691280280969761
mid	0.8966620283126833	0.903449963710926	0.8822340205068943	0.8979082201145313	0.8962115689825131	0.904032255830588	0.8886002514627247	0.8226016281666578	0.7764795663930751	0.8194222318419702	0.8670823389291763	0.8952399519284567	0.7589253105675732
high	0.9035095340675781	0.9073362006258082	0.8855013884261802	0.8971633677968273	0.894042345766668	0.8978035865977957	0.8804759632260711	0.810130670869792	0.7634069912654382	0.8084503153871606	0.8570642678870096	0.8868447904454339	0.7411127759571429
