Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.888732915798823	0.8985150032175913	0.8777562113558804	0.8953562759072692	0.8951674510637918	0.906443179876716	0.89428563105177	0.8342079170280032	0.7902747379276487	0.8321660627568209	0.8779902071864516	0.9040093303609776	0.7744635541880571
mid	0.8955926042795181	0.9031709014486384	0.8824509114071175	0.898797659754753	0.8975070179612548	0.9063236909928144	0.8919792360906248	0.8285705470332393	0.783763002426536	0.8249887606170444	0.8710033540681555	0.89831259421066	0.7680140565722078
high	0.9026523417543484	0.9072396109457368	0.8856902128943691	0.8977757910666643	0.8950915519264011	0.8995060691568585	0.8837489819217611	0.8157830022970836	0.7703803496581537	0.8133393493360943	0.8609172166497618	0.8899975217536644	0.7494998892236641
