Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.9152164129504452	0.8960431018847007	0.8664853574214159	0.8271734394276584	0.8173184335011023	0.7807598773770862	0.7484708512182591	0.6956936666435666	0.6719196654293272	0.6855677824550206	0.6974312881496217	0.7626810164451598	0.6964593376318614
mid	0.9195720552780008	0.8985206056480054	0.8667730077681718	0.8233094414958247	0.812551301293903	0.7748856846182435	0.7411608832721357	0.688149871495035	0.6632379376093547	0.6778552268831819	0.6862973331522059	0.7529737031548112	0.6837243150031126
high	0.9216696848207049	0.9007383556321816	0.8636978713936275	0.8116469139787885	0.7999016012571477	0.7593941436343723	0.7242382774088117	0.6710377777903168	0.6466395703024335	0.6608027693165672	0.6680753615167406	0.7351150403596737	0.6686969527182756
