Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.915786067618264	0.8945298402839236	0.8632585630063655	0.8225276553410071	0.8128886054710106	0.7761489853196675	0.7430933912506811	0.6900655457885178	0.6667909061467205	0.6800274541775386	0.6886355279639915	0.7560988313445338	0.6915307214436708
mid	0.9204229075202236	0.8964210083705408	0.8612855108137484	0.8153557695415283	0.8047769655607365	0.7662230113126614	0.7314192474241609	0.6770566198163562	0.6523398885064655	0.6668756164974636	0.6736011260041485	0.7433818462998779	0.6745549803045062
high	0.9213865242181002	0.8977226479583317	0.8576728801771446	0.8024825549037368	0.7899035520862651	0.748743216753006	0.7131639985596692	0.6589488552720458	0.6351242423719831	0.6493287193731024	0.6545746552061151	0.7242574701529962	0.6591473411189185
