Type	0	1	2	3	4	5	6	7	8	9	10	11	12
monosemous	0.9068523804410096	0.8924167126781568	0.8688713775392164	0.8346296879441607	0.8261402788122938	0.7909670004180491	0.7600975622559151	0.7064938110661341	0.6841354506881486	0.6970178360510607	0.7089155222271936	0.770498725596037	0.7078851482451183
poly-bal	0.919683724527724	0.8961919625885368	0.8601763084713036	0.8131009839526647	0.8023028442227161	0.7637822616486901	0.7295603283157632	0.6757196124344034	0.6521473551861218	0.6657387825734181	0.6717154766605737	0.7412427022633306	0.6761110502978958
poly-same	0.9192180373578676	0.8986033713988709	0.8656057454372327	0.8211406355522719	0.8105661086171692	0.772612278519128	0.7391441489520827	0.6860952296230401	0.6618482078978636	0.6755719090857955	0.6846308087649845	0.7513522399067563	0.6842673136825451
poly-rand	0.9188378809773498	0.8973420624210757	0.8634854757297806	0.8183568116865658	0.8075581760022439	0.7696592934298934	0.7361200522165994	0.6833548863887281	0.6595525826024984	0.6733699880560176	0.6822864164449254	0.749281246369979	0.6817641784319659
