Type	0	1	2	3	4	5	6	7	8	9	10	11	12
low	0.914661406993866	0.8948215308189393	0.8648505687978533	0.8248085234032737	0.8150979230933719	0.7781772696265468	0.7455955287836217	0.6923387527112607	0.6686466915563299	0.6823032199011908	0.6937562494587015	0.7594307195787077	0.6924145622120963
mid	0.9189678042553088	0.8967921530405679	0.8634983518256081	0.8192000107632742	0.8088318951703883	0.7710004868286627	0.7369930296562336	0.6831887330170031	0.6586987515864549	0.6732714951612331	0.682156130834862	0.7499584815458015	0.679463987827301
high	0.9203625425983356	0.8994038280513551	0.8620472861351791	0.8092783643139733	0.7967735053300857	0.7562713859566936	0.7212442354096307	0.6677922439089528	0.6435605338546965	0.6582093084167552	0.6679985629717509	0.7341425991323259	0.6647253720583738
